=====convnet_61(DropoutDescending[0.5;0.4;0.3;],Adam,tanh,512,64,same,(3, 3))=====
ep 1 - l: 1.8466478356170655 ; acc : 0.32965999841690063 ; vl : 1.614929447364807 ; vacc : 0.40529999136924744
ep 2 - l: 1.4667155489349366 ; acc : 0.47157999873161316 ; vl : 1.5411690750122071 ; vacc : 0.44029998779296875
ep 3 - l: 1.2877330044174193 ; acc : 0.5451800227165222 ; vl : 1.3510113958358765 ; vacc : 0.5156999826431274
ep 4 - l: 1.166577441253662 ; acc : 0.5906999707221985 ; vl : 1.2138040521621705 ; vacc : 0.583899974822998
ep 5 - l: 1.1124275353240967 ; acc : 0.6104199886322021 ; vl : 1.0866620077133178 ; vacc : 0.6154999732971191
ep 6 - l: 1.064390674343109 ; acc : 0.6296399831771851 ; vl : 1.0587771602630616 ; vacc : 0.6234999895095825
ep 7 - l: 1.0270778428649903 ; acc : 0.6422600150108337 ; vl : 1.021049436378479 ; vacc : 0.6363999843597412
ep 8 - l: 1.003059453353882 ; acc : 0.650879979133606 ; vl : 0.9828612533569336 ; vacc : 0.6486999988555908
ep 9 - l: 0.9880187102890015 ; acc : 0.6553199887275696 ; vl : 0.9817585739135742 ; vacc : 0.6578999757766724
ep 10 - l: 0.965908629245758 ; acc : 0.6622800230979919 ; vl : 0.9127384857177734 ; vacc : 0.6783999800682068
ep 11 - l: 0.9479537731361389 ; acc : 0.6699000000953674 ; vl : 0.9260401048660278 ; vacc : 0.6735000014305115
