=====convnet_67(DropoutDescending[0.5;0.4;0.3;],Adam,relu,1024,64,same,(3, 3))=====
ep 1 - l: 2.124189429473877 ; acc : 0.19905999302864075 ; vl : 1.9478680307388305 ; vacc : 0.3199999928474426
ep 2 - l: 1.7854604863357544 ; acc : 0.3426400125026703 ; vl : 1.6614797613143921 ; vacc : 0.40290001034736633
ep 3 - l: 1.607064620780945 ; acc : 0.4104200005531311 ; vl : 1.4558503040313722 ; vacc : 0.48579999804496765
ep 4 - l: 1.4785394479751588 ; acc : 0.46108001470565796 ; vl : 1.3654943967819213 ; vacc : 0.525600016117096
ep 5 - l: 1.4018820858001708 ; acc : 0.4854600131511688 ; vl : 1.2992460468292237 ; vacc : 0.5471000075340271
ep 6 - l: 1.335009242477417 ; acc : 0.5176600217819214 ; vl : 1.2029506326675414 ; vacc : 0.5776000022888184
ep 7 - l: 1.2708387372589112 ; acc : 0.5424799919128418 ; vl : 1.191836643409729 ; vacc : 0.5842000246047974
ep 8 - l: 1.21576185546875 ; acc : 0.5626800060272217 ; vl : 1.099333811569214 ; vacc : 0.6237999796867371
ep 9 - l: 1.164576319885254 ; acc : 0.5827199816703796 ; vl : 1.0537600328445436 ; vacc : 0.6377000212669373
ep 10 - l: 1.1299983834838867 ; acc : 0.5937399864196777 ; vl : 1.0328691370010377 ; vacc : 0.646399974822998
ep 11 - l: 1.0921555602645874 ; acc : 0.6105800271034241 ; vl : 0.9953219312667847 ; vacc : 0.6552000045776367
ep 12 - l: 1.0625626874923706 ; acc : 0.6220200061798096 ; vl : 0.9519035804748535 ; vacc : 0.6741999983787537
ep 13 - l: 1.0266421123504639 ; acc : 0.6351000070571899 ; vl : 0.9184631394386291 ; vacc : 0.6814000010490417
ep 14 - l: 1.0036259649658203 ; acc : 0.6456400156021118 ; vl : 0.8827933296203613 ; vacc : 0.699999988079071
ep 15 - l: 0.9820552388572693 ; acc : 0.6525200009346008 ; vl : 0.8716238717079162 ; vacc : 0.696399986743927
