=====convnet_78(DropoutDescending[0.5;0.4;0.3;],Adamax,relu,512,64,same,(4, 4))=====
ep 1 - l: 2.1013013980484008 ; acc : 0.2037000060081482 ; vl : 1.9317496265411378 ; vacc : 0.3296000063419342
ep 2 - l: 1.780985475883484 ; acc : 0.3372200131416321 ; vl : 1.6641302122116088 ; vacc : 0.40790000557899475
ep 3 - l: 1.6223192822647095 ; acc : 0.3977000117301941 ; vl : 1.5279634563446045 ; vacc : 0.45570001006126404
ep 4 - l: 1.5289935586547851 ; acc : 0.4354200065135956 ; vl : 1.4294633588790893 ; vacc : 0.4876999855041504
ep 5 - l: 1.4712028567123414 ; acc : 0.4621399939060211 ; vl : 1.3733666387557983 ; vacc : 0.5034000277519226
ep 6 - l: 1.4070370723724366 ; acc : 0.48583999276161194 ; vl : 1.3076610803604125 ; vacc : 0.5303999781608582
ep 7 - l: 1.3545999633407593 ; acc : 0.5064200162887573 ; vl : 1.2537378568649291 ; vacc : 0.5557000041007996
ep 8 - l: 1.3164250156402588 ; acc : 0.5248399972915649 ; vl : 1.247094154548645 ; vacc : 0.5576000213623047
ep 9 - l: 1.2607161441421508 ; acc : 0.543179988861084 ; vl : 1.1722690969467162 ; vacc : 0.5922999978065491
ep 10 - l: 1.2202210196304322 ; acc : 0.5601400136947632 ; vl : 1.1070515615463257 ; vacc : 0.6101999878883362
ep 11 - l: 1.1767636071395875 ; acc : 0.5753999948501587 ; vl : 1.0969802097320556 ; vacc : 0.6193000078201294
ep 12 - l: 1.148673229751587 ; acc : 0.5894200205802917 ; vl : 1.0371522953033447 ; vacc : 0.6377000212669373
ep 13 - l: 1.0965512711906433 ; acc : 0.6084399819374084 ; vl : 0.9988591926574707 ; vacc : 0.6564000248908997
ep 14 - l: 1.076384515914917 ; acc : 0.616100013256073 ; vl : 0.9798825027465821 ; vacc : 0.6654999852180481
ep 15 - l: 1.050177062034607 ; acc : 0.6238399744033813 ; vl : 0.9774606130599975 ; vacc : 0.6610999703407288
